SKU, Description, Price, Equipment Type
2500010, Rossignol Experience 80 176cm, 145.00, Skis
2500011, Salomon X Max 120 Mn 27.5, 85.00, Boots
2500012, Burton Custom 158cm, 225.00, Snowboards
2500013, Atomic Redster GS 180cm, 275.00, Skis
2500014, Nordica Speedmachine 100 Mn 30.5, 120.00, Boots
2500015, K2 Poacher 155cm, 175.00, Snowboards
2500016, Head Vector RS 170cm, 160.00, Skis
2500017, Lange RX 110 Mn 26.0, 95.00, Boots
2500018, Volkl Kendo 88 178cm, 210.00, Skis
2500019, Lib Tech Skate Banana 154cm, 195.00, Snowboards
2500020, Dynastar Legend X96 186cm, 185.00, Skis
2500021, Tecnica Mach1 MV 120 Mn 29.0, 110.00, Boots
2500022, Jones Flagship 162cm, 260.00, Snowboards
2500023, Black Diamond Boundary 115 178cm, 230.00, Skis
2500024, Dalbello Panterra 120 Mn 28.5, 130.00, Boots
